"Start","End","Week_2020_01","Week_2020_02","Week_2020_03","Week_2020_04","Week_2020_05","Week_2020_06","Week_2020_07","Week_2020_08","Week_2020_09","Week_2020_10","Week_2020_11","Week_2020_12","Week_2020_13","Week_2020_14","Week_2020_15","Week_2020_16","Week_2020_17","Week_2020_18","Week_2020_19","Week_2020_20","Week_2020_21","Week_2020_22","Week_2020_23","Week_2020_24","Week_2020_25","Week_2020_36","Week_2020_37","Week_2020_38","Week_2020_39","Week_2020_40","Week_2020_41","Week_2020_42","Week_2020_43","Week_2020_44","Week_2020_45","Week_2020_46","Week_2020_47","Week_2020_48","Week_2020_49","Week_2020_50","Week_2020_51"
"Albano Sant'Alessandro","Coccaglio",3307,8696,6047,2784,3497,8777,1987,1273,3608,6232,3583,4754,4331,3249,7902,356,6867,5126,452,95,9489,6609,352,4340,4373,6494,4895,8632,9448,8974,4291,429,6047,6285,8784,3548,6601,2032,2925,4263,5089
"Albano Sant'Alessandro","Cologne",8846,7829,9753,2184,3089,8222,271,6163,7634,3738,5094,3133,3560,6885,9773,9457,9603,8688,8114,2723,5689,5366,4215,3637,4662,2270,4811,5399,9034,718,3643,5058,6738,669,7859,9788,7988,4448,3879,1717,5995
"Albano Sant'Alessandro","Desenzano del Garda",4123,432,7635,3108,5181,8332,4841,1017,6823,3549,4057,8127,1429,2818,22,3405,5297,1765,5273,5030,9951,2841,5925,3129,5509,1836,1017,5265,6366,9432,1430,4182,9083,9598,2264,1780,636,7394,5544,8292,11
"Albano Sant'Alessandro","Grumello del Monte",4499,7670,7830,8486,6296,1204,3764,4666,217,131,4855,5986,3122,496,6665,1914,1979,3820,5695,755,2044,6740,8901,5910,7104,9850,9389,9122,8061,2109,2603,7621,4583,8237,192,9209,459,5454,8548,1230,7676
"Albano Sant'Alessandro","IS area",6358,7838,9464,3449,7895,5578,7442,102,6653,2319,2382,9867,1483,8265,2566,2705,1906,5234,8754,5029,2970,8360,5228,6312,8035,8326,7627,4399,2960,3476,1889,9938,9513,2072,4992,7501,9005,7514,7300,9300,8873
"Albano Sant'Alessandro","Levate",1853,1163,6688,4013,7047,3160,7444,2366,1910,1573,3435,1876,7885,8227,4616,5962,3234,9137,3082,9445,771,7759,4031,8209,8447,9506,7256,7281,7408,8325,9672,7316,2643,7500,6812,6453,2550,3633,5915,6937,2013
"Albano Sant'Alessandro","Montello",1944,8491,1708,766,6042,3649,5647,7192,8657,9304,3322,1364,3699,6043,7871,1590,8801,2089,3420,1408,5088,9407,2485,4016,7706,5578,6527,4288,2424,787,7117,9043,5091,6411,2798,4775,4320,2838,3248,6153,358
"Albano Sant'Alessandro","Ospitaletto",7369,4060,2741,8812,931,6703,301,2164,8673,3362,1744,9341,4654,2757,8662,3453,992,6631,8285,7489,5454,7223,1717,6468,317,3995,5003,3160,9167,9708,3260,2880,2924,5560,3124,8297,9216,5518,6277,5096,6178
"Albano Sant'Alessandro","Paderno d'Adda",2697,3388,9545,8742,1239,8291,244,8933,9198,2686,6545,3801,8885,9861,7000,6217,6338,8421,4680,3420,1748,6454,1306,4178,7552,7651,1720,3211,1655,3633,5446,113,2280,5621,4375,9129,4845,8503,547,6714,8382
"Albano Sant'Alessandro","Palazzolo sull'Oglio",3048,2132,7550,2024,8685,6175,9253,4264,5068,1710,1149,1654,5298,9711,7334,1024,39,1758,1681,4725,1342,4067,1402,4361,4385,8949,6597,2873,271,8638,6271,121,9175,6965,339,3849,5517,7763,8144,936,9327
"Albano Sant'Alessandro","Peschiera del Garda",3795,8215,72,4013,578,618,999,5706,3639,3704,1516,3127,9538,9839,8238,3496,7523,9603,1496,6883,1783,2313,8702,1970,5118,2698,732,3191,2386,476,4578,1306,3446,6696,2328,9912,9557,1082,5836,738,8518
"Albano Sant'Alessandro","Ponte San Pietro",6425,4470,5723,2202,4105,8362,1030,233,6909,9201,5682,3067,7745,5580,6474,9028,5140,1239,7756,4935,9038,9721,4185,3741,1465,6799,3686,2060,3110,5800,1220,3359,968,9625,902,5305,8726,8783,1323,8309,9917
"Albano Sant'Alessandro","Romano di Lombardia",4943,3247,7145,9217,7293,129,1556,3651,745,7405,8125,6420,1649,344,8368,2586,5467,4636,5026,7851,7497,1631,9019,9235,2685,3976,8004,2636,9154,5411,6784,9157,274,9832,4874,2614,3671,7058,1748,7436,8950
"Albano Sant'Alessandro","Rovato",8006,5573,615,4547,6898,3168,9078,1877,8009,2705,3148,3080,567,6436,9241,7364,8639,6774,8951,5248,955,7136,8640,7638,8994,5019,2609,6746,1769,5294,7271,5663,8658,4098,9463,1290,2854,9728,6395,2697,7189
"Albano Sant'Alessandro","Seriate",9402,5651,9737,4959,3586,1764,6904,9943,7372,988,7451,8308,6761,7366,1307,4817,1228,5175,2843,5330,1022,1643,8172,3485,1288,7688,2257,9518,9201,1702,5113,2005,2932,2214,4301,1455,5429,5769,6574,8034,4419
"Albano Sant'Alessandro","Stezzano",8743,5788,7751,4834,6562,9479,2120,3446,4751,493,829,8696,7929,1803,1674,3169,8119,8470,9844,3354,5224,113,7549,1639,6580,5862,3140,2693,6109,4487,6155,8012,130,3629,9182,1063,9093,4935,1899,9587,4144
"Albano Sant'Alessandro","Terno d'Isola",8081,8,2411,6589,1963,1146,6214,1915,4020,3144,2591,1281,3288,162,4619,7501,2887,7984,6884,3517,9309,1058,1237,3578,7645,7259,6409,7777,6535,89,5760,8373,659,2004,6431,3045,5879,2682,546,3336,4512
"Albano Sant'Alessandro","Treviglio",1237,7889,680,7719,3616,622,3936,7635,204,6218,5010,4481,4292,7823,4784,5658,5665,2749,3311,3452,3083,1538,7967,4690,643,4889,4861,9108,5894,1657,3549,5637,7871,8737,14,9057,6560,1225,5286,3252,5562
"Albano Sant'Alessandro","Verdellino",160,3329,663,505,8774,6023,8400,18,4667,7426,185,3641,2325,5146,3008,1253,4655,6320,2398,3544,8802,8002,7472,1939,3918,2499,6948,4939,532,7486,8255,2965,1637,4436,2311,1003,3253,7705,6734,6969,924
"Albano Sant'Alessandro","Verona",1771,6432,868,3072,684,2199,9985,6888,8426,2359,865,5154,5441,3171,8645,5192,5640,5159,2072,7055,4213,671,1187,5848,9056,1723,9491,8969,9025,2244,9816,8767,5967,3645,3534,7606,6544,4583,6998,4316,9174
"Arcene","Albano Sant'Alessandro",6888,1546,4846,1055,6629,4204,7716,2963,1853,1628,7540,3748,3707,3583,1129,7206,8110,8653,1502,6278,8597,9131,396,657,6661,90,6720,3387,8956,643,8581,9067,2744,3274,6855,993,1255,5403,1905,5747,9025
"Arcene","Arcene",4987,1422,2015,335,558,2724,6582,1633,1922,9540,9744,8625,6691,5442,7893,7680,7688,4544,7327,3770,2519,5193,4431,5430,9796,875,9379,7750,682,9446,9984,5629,1341,3589,8617,6927,5735,4938,2833,1788,938
"Arcene","Bariano",762,7268,5198,4652,4273,2811,7600,97,2262,3114,2094,7485,4857,8225,7349,7220,8257,140,5274,502,2668,4496,1887,1081,2435,4144,8773,705,4126,6553,714,3293,5796,8548,4300,1971,5806,1328,8698,7321,6848
"Arcene","Bergamo",8426,4774,9048,7302,196,4365,3270,9357,3879,6077,8661,8396,5679,4334,1785,8512,4267,1021,7037,475,7768,484,6126,3223,5342,9398,4313,9597,3020,8193,6254,4917,786,4908,6168,6921,327,3659,6087,9046,4595
"Arcene","Brescia",1357,1395,6249,8685,2628,3296,2280,6932,3656,899,150,2818,7084,3547,3604,8784,5875,3713,1492,2187,295,4834,5024,5156,764,777,9238,2759,7372,3192,8733,2352,4881,6167,8176,4052,4121,5236,295,2245,8318
"Arcene","Calusco d'Adda",7505,379,3412,8138,9296,2372,700,2918,7030,6568,3923,7600,90,2276,7485,3056,1627,8388,1802,3872,3960,6184,619,412,4673,6818,3597,5205,3598,9841,6056,2735,3653,5846,6954,8398,4073,7263,4685,5395,872
"Arcene","Caravaggio",6641,2730,9298,789,6958,1395,4175,4066,2894,9348,685,2421,3606,4987,9797,4870,5589,2439,2136,7402,3245,9840,8151,7255,3516,6909,3489,7650,9135,6891,1900,3889,1532,9958,651,3081,3743,6434,3461,4228,9712
"Arcene","Chiari",4082,8332,4011,6735,1634,5650,9864,3714,4770,7158,3927,2092,6087,2447,8472,3933,2143,9851,8996,9197,5568,121,6821,2937,6128,918,7746,9212,8951,4574,2866,4824,5042,445,2106,6874,6335,6576,2437,1930,3485
"Arcene","Chiuduno",5665,8171,9505,6534,3790,5846,7472,9510,3746,6983,9203,2340,6951,9661,6249,3641,9636,653,2645,6434,8401,8876,6499,8261,8492,6064,1705,6244,7340,6660,5137,7854,7781,9462,9827,303,5978,9944,2186,7591,5587
"Arcene","Cividate al Piano",6965,3986,420,658,8931,5077,2574,1924,7633,7233,6510,4737,5300,4942,1987,9062,2623,6121,3502,504,5457,7697,7542,586,818,9422,1431,1207,5109,6601,3449,1932,7614,4565,7624,7669,9625,5069,9060,8582,5263
"Arcene","Coccaglio",2739,8002,8345,9397,538,8777,6848,7957,5462,8335,8776,93,1441,1674,8068,7191,2566,541,1046,9099,3800,5294,2860,7950,5653,2711,8904,7621,6515,1935,3591,1293,5946,3423,6800,6216,3407,322,3474,4764,1059
"Arcene","Cologne",9252,8321,7315,6187,8393,7654,4855,1132,443,4243,8094,4811,395,371,8292,7301,2185,3520,9551,4216,502,508,1745,4133,7834,5456,7462,344,3579,3000,529,8226,8014,7490,3426,2307,8432,6807,5634,1442,8310
"Arcene","Desenzano del Garda",6148,5641,1295,7763,1011,5080,5563,6796,613,9431,4181,9137,8609,4388,7713,5613,664,2810,1605,2243,4088,7457,6956,4181,5630,6721,6772,8602,8084,8639,4591,712,7540,1126,2159,1289,6555,1051,4122,6634,6635
"Arcene","Grumello del Monte",2607,7914,4292,9887,3471,1107,2308,3819,244,8724,5639,9008,2628,4538,7635,2785,5512,4536,6246,1587,7014,3678,1838,7164,3019,9349,5041,2144,1768,2076,637,4639,9170,7036,7845,2193,7733,9276,7707,1784,1474
"Arcene","IS area",1628,105,364,2133,7189,8417,8733,7896,4272,4084,5499,2473,9723,1601,7267,2688,3099,477,1957,3109,845,3728,3666,5245,1457,6234,746,4244,2445,5768,56,2546,4434,8972,1069,3570,9596,9351,8996,8272,4992
"Arcene","Levate",1016,1142,6186,557,4237,4578,4153,9722,1323,1676,7650,9774,1857,4196,6985,875,3154,584,3476,2281,1374,3922,3826,8707,8842,847,5079,3333,4683,5696,3396,7808,6876,6500,1048,5462,4280,4225,2339,1757,9748
"Arcene","Montello",2705,1693,7551,3163,1784,1226,8778,2289,1000,5384,9547,4230,724,3738,5109,7232,989,3788,8340,6563,9589,6646,2231,5286,5600,2417,6577,3345,4440,927,8675,2721,181,6664,6188,6227,9418,8901,6613,7179,8220
"Arcene","Ospitaletto",7682,9491,5015,6694,2238,4780,7636,7448,3612,7414,8959,6214,7263,6414,669,7386,9816,2930,1199,7648,1371,2251,8495,3751,6432,9659,4173,4149,6073,2984,9016,2029,9631,270,9007,9373,2312,3937,4225,432,1520
"Arcene","Paderno d'Adda",9922,3621,1269,6492,6892,8416,3606,5076,9298,2791,6516,1100,1596,5505,9379,8137,3328,1934,6532,3108,5687,9200,7115,6313,5839,1426,502,5704,7422,5770,3473,4855,5669,138,6009,1962,5783,7584,3653,7086,7691
"Arcene","Palazzolo sull'Oglio",5130,8449,7051,46,1645,4186,4858,490,8054,5179,1869,4645,1634,2226,7360,801,2070,8166,5622,7689,6548,5255,951,6372,1717,5584,6856,2414,1951,8259,5670,8783,3054,8834,4021,6889,9765,7796,1058,4579,7306
"Arcene","Peschiera del Garda",5953,9323,2930,8682,1625,8420,2014,6190,6798,3092,3969,9913,3810,6943,236,5035,7017,9554,7822,756,4132,9584,2526,3730,5095,930,5951,3919,1058,4781,6709,6191,7470,7723,2076,1696,615,218,7073,2609,3178
"Arcene","Ponte San Pietro",5864,5645,123,7229,2052,7940,7784,8151,1162,7233,4431,9476,3559,6338,1294,5652,8186,2235,9866,2575,7035,3391,7082,9501,368,2736,4864,9758,1660,509,3200,6575,6567,6195,5631,8449,3468,958,4690,2437,1963
"Arcene","Romano di Lombardia",4213,1224,7718,5363,2756,1473,9506,6535,9715,7962,4102,2598,9257,5295,5204,6393,8383,3164,8659,2538,2296,3895,8995,1749,4596,695,7587,1569,4769,6198,1026,1677,2977,8562,4490,8751,4706,1519,2175,798,2403
"Arcene","Rovato",1049,9824,3322,46,6910,4572,3819,6665,3335,2892,5666,4466,1510,2254,9339,4360,8372,9248,4882,6431,4770,3340,8346,2213,9235,5576,5106,2684,7722,353,6168,5066,4467,2904,8194,522,8018,4601,5254,4693,6289
"Arcene","Seriate",3555,8532,4802,8066,8149,9344,9390,5791,5087,6139,2913,2473,4551,2816,9549,9792,6459,6881,3396,7922,9294,660,2431,1247,1413,744,5702,3344,1935,4479,6563,8105,4949,6116,6866,8187,2049,5166,3355,7552,7754
"Arcene","Stezzano",2525,1003,8645,1350,5788,3041,5387,6219,8808,6023,1224,4743,4889,8190,1677,1125,4320,5146,4290,7177,7739,9727,513,8434,9139,7604,8104,697,208,7787,910,5834,1222,8965,2861,433,6990,3401,1302,2308,7149
"Arcene","Terno d'Isola",4707,1962,9887,980,5446,4152,4765,7617,9586,8330,1096,6432,3679,5541,1550,9149,9858,3490,6159,1411,1369,1312,5360,9325,837,8207,1220,7476,9573,5991,466,9689,7697,8009,8435,1881,5153,6981,6104,4709,1051
"Arcene","Treviglio",2440,4650,603,2325,9427,5497,3782,5644,477,9978,6576,2279,4021,2688,3855,2971,6589,5521,4763,3422,9283,6796,3050,6778,3301,1392,6935,4445,6342,588,9127,7498,2717,8533,7224,6845,8086,9872,2733,212,8570
"Arcene","Verdellino",4239,7308,1489,2067,7086,332,215,3088,5499,5798,7197,5508,9402,5780,2749,812,6556,4530,2339,6856,6656,4085,7808,5446,9734,3381,8869,4825,1334,2298,2719,8680,3257,507,1700,3361,1769,1949,3418,9469,2137
"Arcene","Verona",7485,8018,5250,4595,5313,827,3035,6348,105,57,9574,5788,6523,449,9880,6887,1931,5789,4277,7258,1685,3583,3265,1827,8342,6466,3648,5402,811,4158,9746,5903,6179,4080,516,6702,2971,3778,4930,4870,6895
"Bariano","Albano Sant'Alessandro",3199,9750,6375,5177,5737,2887,6332,2302,1556,6034,7864,2874,6811,4109,9305,2143,4054,9725,8972,3195,4550,1822,5239,1163,7075,8901,5325,2735,9090,604,5116,5803,5212,1863,4505,6527,2297,6872,5041,8990,9274
"Bariano","Arcene",2197,9435,5888,6699,981,7405,22,156,8193,9835,7317,3243,2666,9596,6353,2309,7097,4170,1861,1424,9856,2233,2296,486,8507,9123,8410,1973,6290,1753,4043,5676,7758,3241,7415,796,3423,6192,718,7399,6456
"Bariano","Bariano",8887,2191,5039,2074,6458,525,8727,5875,7203,4359,6910,1400,6565,3038,4581,6760,7152,718,6273,1856,2478,2103,4816,8838,953,8988,1924,348,7327,9324,3280,9813,8750,3541,9870,9492,1387,489,6116,6479,4228
"Bariano","Bergamo",9028,1730,2995,4246,5145,2189,215,9249,6959,5031,610,2450,5497,8394,3757,3056,7641,5557,1232,680,1924,6953,8920,3280,4569,2325,4194,7922,7907,6579,747,9416,2123,7568,2853,4157,7713,5032,9755,769,323
"Bariano","Brescia",162,5862,8941,8981,1869,9901,5722,6368,5650,6334,5436,9847,2617,3748,6810,7152,5281,4327,1684,8694,7287,7109,5067,2499,2280,7987,3766,2638,3996,8999,5648,9893,8789,359,1385,9901,9193,889,7551,5190,8396
"Bariano","Calusco d'Adda",8137,3554,371,6836,9808,4263,7286,235,2956,9022,1961,6763,2320,4818,8841,6200,7200,8519,2366,9323,9262,6424,400,3981,7598,1418,2301,843,1560,6151,7768,1990,2510,1165,2399,7179,1127,9521,3289,2638,7406
"Bariano","Caravaggio",2778,6264,2568,7045,2231,8135,854,6168,445,3329,2912,4807,7610,9758,6781,2377,4405,3817,1191,1820,7237,9879,2163,2573,1340,8349,2379,3555,9648,9954,4961,2882,6502,5023,580,3776,1907,7077,8107,7778,3163
"Bariano","Chiari",4246,8945,9617,4011,6758,5798,538,7247,7284,7956,2705,600,6367,5642,8319,8135,9431,7959,694,7009,9821,2964,6374,2455,6467,8895,1508,7064,4604,1259,5751,9700,5973,2779,15,8167,8345,2576,5177,3321,5712
"Bariano","Chiuduno",8268,9673,5652,2769,4290,2832,6619,5639,7755,1910,4964,2400,1033,9051,5842,574,4902,4009,2197,644,9659,1396,3747,3621,4486,1620,8489,1232,4320,3598,5411,8917,5001,7295,9122,4829,2826,5033,3396,4355,1514
"Bariano","Cividate al Piano",1139,2053,3107,7642,2578,6997,2078,4673,7417,3193,3600,2439,4043,1476,8200,5499,8018,2710,2396,2754,2833,2391,2948,331,7344,9118,7631,1838,5614,1151,5272,4823,2653,6062,3473,4176,5882,7109,1702,2651,4907
"Bariano","Coccaglio",3353,1200,516,8985,4327,6371,2382,1047,5869,4292,6273,9729,5650,9162,2265,5953,5103,3550,4946,2668,8165,6360,3514,7600,6419,3888,253,7589,5070,4392,5055,2063,7487,2455,3142,2253,5678,8985,9412,2713,5297
"Bariano","Cologne",8295,9841,3843,1176,9320,6487,7684,8655,4941,5465,2124,1107,6308,5586,3370,7562,1284,1493,7101,3283,3508,8899,371,6934,7258,8603,8708,4666,7990,4290,7860,4110,827,3844,8796,8796,4567,3003,1856,3332,5130
"Bariano","Desenzano del Garda",9548,3440,3426,280,1989,6666,8067,1283,2477,3477,753,4854,7960,7620,3997,8909,3409,8351,3881,4080,4390,8830,8883,1079,3984,1810,9986,197,2174,9172,3574,7761,5720,9985,1196,9424,6857,3144,3793,5536,4822
"Bariano","Grumello del Monte",8098,2835,8747,9090,9303,1917,8462,3640,9109,2265,5406,5204,2034,4957,5304,9636,1725,1404,3051,4660,5504,9848,1134,1381,3277,9251,7176,7476,8962,5325,6236,985,9607,3250,6523,6009,2006,2615,133,9412,6089
"Bariano","IS area",4752,5453,171,7210,7989,7598,2892,7228,2051,4292,5919,6079,7880,3584,3097,1603,6656,3786,7883,8773,9440,7873,7374,6730,2440,9377,9600,8,4770,5064,3463,6494,8063,1715,2102,3930,4606,4709,5900,6076,8124
"Bariano","Levate",2095,7119,871,2129,6779,4868,9198,7268,9008,9873,2634,3524,8545,7812,3792,2240,7260,8451,5883,8761,9683,4892,7212,4669,1976,7298,3021,3957,4386,4638,378,5104,648,4706,7530,8875,6211,3718,589,9971,7095
"Bariano","Montello",210,3095,7806,7875,2657,7124,2177,7952,3547,5787,3350,6410,7067,8067,1251,8925,8569,6013,2914,806,8931,690,1357,9837,6787,5321,758,211,8537,3723,2009,5311,9048,5383,7814,1212,8909,9315,2437,6830,9356
"Bariano","Ospitaletto",7982,704,8612,6681,5281,8355,102,7718,6997,7304,2979,5165,8415,746,7996,2805,9810,6885,5595,6929,3453,556,6046,6106,9043,4007,579,5884,9961,4366,4883,2345,7410,7703,8981,7970,6924,5641,9640,3909,2904
"Bariano","Paderno d'Adda",782,4567,4980,9346,1052,9949,2925,582,2066,7407,9455,1885,3192,9979,5484,2852,9833,8650,8436,7906,1845,6937,3231,7713,5559,2086,318,437,5043,2042,1541,2368,2324,4613,1833,5045,772,344,9244,6154,6013
"Bariano","Palazzolo sull'Oglio",3319,4612,4735,2847,7459,6828,3936,7877,6203,7262,7472,9209,728,3791,5629,977,1115,3990,6805,3873,2626,8264,5310,4527,7135,8595,2834,4360,2977,642,401,7570,1739,5990,6078,4139,6639,1256,2228,6784,410
"Bariano","Peschiera del Garda",369,4948,3528,2761,2249,4546,7450,6701,8355,9939,9577,7650,542,7359,2494,5420,63,8460,375,575,5009,1761,5725,941,7113,6424,8263,1392,384,7409,3187,7369,8393,5252,8900,6038,152,8625,9658,4945,3748
"Bariano","Ponte San Pietro",5665,5878,6759,8837,3256,9122,3134,5534,7443,7698,5245,8732,7939,5754,9541,107,8162,5504,6826,1925,5809,3132,3659,748,2809,2455,5489,7096,2444,7133,8667,3278,2001,5391,4384,233,4918,8412,1814,7440,2520
"Bariano","Romano di Lombardia",7260,6700,9746,1813,3836,3715,7785,2561,7658,1126,3137,8622,4557,4421,356,1163,8832,1780,5091,2836,9922,789,9848,4905,4788,8916,3431,5122,5962,5353,8397,111,5816,2395,7404,2618,3362,147,8388,5372,1494
"Bariano","Rovato",4581,5060,9237,8142,6330,759,783,5491,3372,4488,7209,4414,35,7176,1761,3626,2993,1475,5977,1914,475,1505,4113,2594,522,4,4662,8279,7238,5591,1783,3873,999,4219,2169,5536,535,6347,9648,2989,1397
"Bariano","Seriate",5206,667,1396,7857,4280,7213,4718,4407,8095,5438,773,3166,4168,2715,5548,433,2537,3894,1088,3227,2792,2596,3793,4893,1986,2133,6899,5779,7954,5956,6514,9610,3056,5653,8159,2456,9254,6423,9943,4863,7261
"Bariano","Stezzano",2726,2759,4934,4899,6365,1309,1859,2247,9731,1875,1397,5351,1586,8835,5319,583,2802,996,8914,7697,9784,5409,1554,7235,8487,9834,7529,5933,1357,6775,2745,1367,6673,8853,7609,3466,6895,8511,8826,1862,8815
"Bariano","Terno d'Isola",7878,6807,1677,3979,2749,6086,758,2057,7887,8085,5007,5226,2688,5613,2684,9286,8628,2679,8926,6789,9225,8704,4447,2501,4815,4437,6700,7042,7693,2068,2304,1995,5219,9061,7630,4811,3622,3354,4016,4921,8727
"Bariano","Treviglio",7314,6319,6016,4988,5537,7403,8443,1888,5668,8602,9174,52,9684,6574,6243,1095,4938,4784,6444,6342,372,118,2938,9410,1707,4848,9146,4060,3082,2599,8330,4742,1500,7390,140,6651,8805,5623,9021,1004,5468
"Bariano","Verdellino",370,2435,6175,5222,1154,9667,6383,4677,7199,4356,9554,1008,5801,5476,9069,3512,5222,5299,4824,8512,8415,4517,8540,2856,6474,4192,2687,7024,7675,6142,6975,4717,4311,7311,6458,7395,7232,8844,3222,7810,2404
"Bariano","Verona",8816,6439,5447,3688,215,6478,668,9691,7721,8368,2553,183,2956,9491,5427,3182,426,8991,4609,563,4102,160,5623,4679,4123,2989,1883,830,4525,5507,7770,6503,5847,9839,9588,5053,2856,8595,26,1866,5405
"Bergamo","Albano Sant'Alessandro",8884,4209,7387,2736,6367,9127,9012,5730,4236,6375,5446,7173,2439,5886,6577,478,95,1936,5120,2550,1114,480,9073,4901,6002,1732,1446,6630,1464,1491,9449,2825,1208,7416,4070,4095,7071,2959,6314,7930,5919
"Bergamo","Arcene",3830,1321,5153,8999,2788,717,4573,2187,9958,678,5849,5495,7230,3644,2360,7601,8402,8259,5889,4209,8703,4232,4102,3217,6741,173,8104,2644,3251,9633,5090,1895,8009,861,7484,501,9543,9110,8764,7544,6380
"Bergamo","Bariano",810,4445,649,5197,8310,3715,2075,9283,5703,7676,7562,883,6853,3996,2027,2809,7549,4439,155,9836,3809,3919,4512,2510,5166,1177,890,6954,8660,1563,8075,8832,6130,458,453,9822,1893,3870,4396,831,3654
"Bergamo","Bergamo",4836,5560,1892,6345,3826,9732,1097,2418,5404,5156,2205,2679,9651,9998,5472,3664,9006,3580,8073,7773,8275,6194,3406,8685,8149,3533,4405,1578,2021,4343,2842,665,8798,4354,139,3937,5904,6725,289,7818,4233
"Bergamo","Brescia",7881,355,6804,5955,9126,3513,8096,7213,3157,2521,3208,4219,6820,805,6880,4716,7896,3525,153,837,7900,2706,5023,1137,8821,7933,172,4091,4034,9243,7183,4857,3888,1165,4059,5586,9664,606,4617,5806,5496
"Bergamo","Calusco d'Adda",9048,1548,4425,9187,5459,3613,785,6877,3259,8278,4072,8237,1732,2554,5375,9944,1843,2134,7031,3520,4206,3751,4947,8073,9551,9022,8281,1976,7700,5632,4083,7089,2429,7510,2415,8907,1613,2972,431,5375,732
"Bergamo","Caravaggio",4458,7433,4795,7152,4193,5216,1694,5599,4318,9788,5368,5743,599,7055,3363,9644,8259,9509,6955,7726,1134,9085,6056,8201,7737,4620,5158,4852,9067,400,8092,780,9742,7898,5852,3015,2857,3855,9775,422,7051
"Bergamo","Chiari",6743,7966,606,821,6996,95,9428,8631,3876,460,4600,3584,9947,214,4763,9541,937,1374,508,1179,1467,811,26,7077,8703,4643,145,5924,6998,3650,4281,9760,5410,7104,8328,670,2332,7348,740,5009,9233
